step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0013468013333333333,0.0011321201793394959,0.0014143733832639488,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,0.0,0.0,0.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0,0.9999999999999929,0.9999999999999929,1.0,0.036698791987384724,0.033666666666666664,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.001259999392039297,0.0011917440921862948,0.0014900214196026567,0.029996725220141855,1,11,,0,1.2188642081269038e-10,0.9910837405323222,0.9785784706186637,0.9400009835046043,0.0,0.0,0.0,0.03242105683219298,0.03549647013492042,0.04869586257732954,0.035487004440871134,4.155883193922192e-05,0.006543260420915997,0.1268233956363228,0.0,0.029996725220141855,0.9910837405323222,0.9785784706186637,0.9400009835046043,0.03549647013492042,0.03242105683219298,0.04869586257732954,0.029996725220141855,0.0
2,adam,2,3,0.029403,1,0.0011685558037228068,0.0012527289045232053,0.0015644134745509334,0.029307431011225762,1,9,,0,2.4007788986469733e-09,0.9823021591113795,0.9545375394731855,0.8806942883304373,0.0,0.0,0.0,0.031049118587820553,0.034184145502305696,0.04726541594490329,0.034145538956277,8.972169293648036e-05,0.01398330870973711,0.28448944757030686,0.0,0.059301032787830464,0.9823021591113795,0.9545375394731855,0.8806942883304373,0.034184145502305696,0.031049118587820553,0.04726541594490329,0.059301032787830464,0.0
3,adam,3,4,0.029108969999999998,1,0.0010722278813946509,0.0013138836450875334,0.0016355583435935187,0.02890166256654934,1,6,,0,4.807083032463122e-11,0.973292617372556,0.9273825656808768,0.8221184687405853,0.0,0.0,0.0,0.029529403360898463,0.0327448909204879,0.0456854864294997,0.03265486267887311,0.00014603899978087457,0.022518238531934135,0.48424942032752355,0.0,0.0881993271491744,0.973292617372556,0.9273825656808768,0.8221184687405853,0.0327448909204879,0.029529403360898463,0.0456854864294997,0.0881993271491744,0.0
4,adam,4,5,0.028817880299999998,1,0.000970843997671675,0.0013732729994822344,0.0017003926565381773,0.028605484464427212,1,12,,0,2.5901206001453777e-11,0.9635959436500657,0.8966131725322027,0.7642508986274105,0.0,0.0,0.0,0.027835484842161952,0.031158369624736063,0.04392642216409974,0.03099113923662965,0.00021256844686868835,0.032410623123973435,0.7439360336373451,0.0,0.11680196869159944,0.9635959436500657,0.8966131725322027,0.7642508986274105,0.031158369624736063,0.027835484842161952,0.04392642216409974,0.11680196869159944,0.0
5,adam,5,6,0.028529701496999998,1,0.0008644110485028432,0.0014274786511602627,0.001754038689390288,0.028371568673790558,1,24,,0,7.776325291949484e-11,0.9524946684244304,0.8615769382628692,0.7070506416651401,0.0,0.0,0.0,0.02594156259460414,0.029400868158999033,0.04195542693666202,0.029126606818042293,0.00029205836395979214,0.04401206705926089,1.0935531574244945,0.0,0.1451714491504302,0.9524946684244304,0.8615769382628692,0.7070506416651401,0.029400868158999033,0.02594156259460414,0.04195542693666202,0.1451714491504302,0.0
6,adam,6,7,0.02824440448203,1,0.0007533132600746546,0.001470103828010845,0.0017883445464390608,0.0281810745116949,1,6,,0,9.799700869741112e-09,0.9386083335672314,0.821319491637024,0.6504693085271196,0.0,0.0,0.0,0.02392400205157994,0.02744655279037159,0.03971924338919144,0.027030755937777484,0.00038841275491447656,0.05781495556776622,1.5893709624516548,0.0,0.17335124863240062,0.9386083335672314,0.821319491637024,0.6504693085271196,0.02744655279037159,0.02392400205157994,0.03971924338919144,0.17335124863240062,0.0
7,adam,7,8,0.027961960437209697,1,0.0006387722698789788,0.0014877928306608443,0.0017886462511544996,0.028024408959705635,1,11,,0,6.910401768847591e-10,0.9139002538975368,0.7743735215173077,0.5944548570136031,0.0,0.0,0.0,0.02184797397748135,0.025273944485951907,0.037151857205441736,0.02467540953495481,0.0005093414914916723,0.07466759561121297,2.3553467983414045,0.0,0.20137514920538224,0.9139002538975368,0.7743735215173077,0.5944548570136031,0.025273944485951907,0.02184797397748135,0.037151857205441736,0.20137514920538224,0.0
8,adam,8,9,0.0276823408328376,1,0.0005256615476805748,0.0014329952885277454,0.001724385891924298,0.027897206764867854,1,23,,0,6.519241881979282e-10,0.8026849884971632,0.706849526775941,0.5389506412161236,0.0,0.0,0.0,0.019930369670736196,0.02292731008384051,0.03420497331470106,0.022075679941026088,0.0007023493702872252,0.0990670333328608,3.6972680479688877,0.0,0.22927233775343575,0.8026849884971632,0.706849526775941,0.5389506412161236,0.02292731008384051,0.019930369670736196,0.03420497331470106,0.22927233775343575,0.0
9,adam,9,10,0.027405517424509224,1,0.0004463136808722823,0.0011290037819383027,0.0015298554625333834,0.02780638787520697,1,40,,0,8.288302709274824e-09,0.6608413532184324,0.6608413532184324,0.48388358927851133,0.0,0.0,0.0,0.019145686077323972,0.021126137386476552,0.030925851172670184,0.020127125169916316,0.0013043665403099885,0.1562335528086075,8.214075244287034,0.0,0.25707765931944937,0.6608413532184324,0.6608413532184324,0.48388358927851133,0.021126137386476552,0.019145686077323972,0.030925851172670184,0.25707765931944937,0.0
